index,institutionCode,catalogueNumber,filename,similarity
222124,LSUMNS,109406,SU.S.LSU109406.00000001.Master.Transmission,1
215659,LSUMNS,87590,SU.R.LSU87590.00000005.Master.Transmission,1
215595,LSUMNS,87590,SU.R.LSU87590.00000004.Master.Transmission,1
215531,LSUMNS,87590,SU.R.LSU87590.00000003.Master.Transmission,1
215467,LSUMNS,87590,SU.R.LSU87590.00000002.Master.Transmission,1
215403,LSUMNS,87590,SU.R.LSU87590.00000001.Master.Transmission,1
215348,LSUMNS,71304,SU.R.LSU71304.00000005.Master.Transmission,1
215284,LSUMNS,71304,SU.R.LSU71304.00000004.Master.Transmission,1
215220,LSUMNS,71304,SU.R.LSU71304.00000003.Master.Transmission,1
215156,LSUMNS,71304,SU.R.LSU71304.00000002.Master.Transmission,1
215092,LSUMNS,71304,SU.R.LSU71304.00000001.Master.Transmission,1
215025,LSUMNS,119388,SU.R.LSU119388.00000005.Master.Transmission,1
